Unnamed: 0,Communication_Communication band,Communication_Frequency [GHz],Communication_Beamwidth [deg],Communication_D_r [m],Communication_Required Eb/N0 [dB],Communication_Efficiency,Communication_D_antenna [m],Communication_Mass_communication [kg],Communication_Data Rate [bps],OBC_cpu_DMIPS,OBC_cpu_power_idle,OBC_power max,OBC_cpu efficiency,OBC_recovery rate,OBC_Throughtput per W,OBC_Mass_OBC,SolarArray_Solar Material,SolarArray_Efficiency,SolarArray_Specific Power [W/kg],SolarArray_A_solar [m^2],SolarArray_P_solar_max [W],SolarArray_Mass_solar_array [kg],Battery_Battery type,Battery_Number of cell,Battery_Diameter [m],Battery_Length [m],Battery_Volumetric Energy [Wh/m³],Battery_Specific Energy [Wh/kg],Battery_Capacity [Wh],Battery_Mass_battery [kg],Radiator_Radiator material,Radiator_A_radiator [m2],Radiator_rho [kg/m³],Radiator_emissivity,Radiator_thickness [m],Radiator_Q_rad [W/K⁴],Radiator_Mass_radiator [kg],CubeSat mass,score_4orbits,score_8orbits,score_15orbits,subscore_4_Power,subscore_4_Thermal,subscore_4_OBC,subscore_4_Comm,subscore_4_Payload,subscore_8_Power,subscore_8_Thermal,subscore_8_OBC,subscore_8_Comm,subscore_8_Payload,subscore_15_Power,subscore_15_Thermal,subscore_15_OBC,subscore_15_Comm,subscore_15_Payload
1000,VHF,0.3,60.0,0.1,8.0,0.59,1.1666666666666667,0.0329062499999999,74132.66352746598,100,0.3,0.9,10000.0,2.0,300000.0,0.045,CFRP_substrate2,0.185,84.0,0.03,7.586849999999999,0.0903196428571428,NiH2_individual,3,0.021,0.07,64500,43.0,4.691454192339331,0.1091035858683565,Aluminizedkapton_0.5mil,0.03,1420,0.55,0.0005,9.3555e-10,0.0213,0.2986294787254994,4.989479904160353,4.845111477126154,4.559973528621572,0.8699783690115468,0.5322933835171646,0.24864808555951676,0.5657332873494191,0.47470085470085466,0.8531088769820326,0.3836845872208684,0.34797594023593503,0.44716433237686526,0.5242321867321866,0.8400898026252083,0.3091054381531325,0.2581238122171827,0.5249888254849084,0.5602748380982467
1100,VHF,0.3,60.0,0.1,8.0,0.59,1.1666666666666667,0.0329062499999999,74132.66352746598,100,0.3,0.9,10000.0,2.0,300000.0,0.045,CFRP_substrate2,0.185,84.0,0.03,7.586849999999999,0.0903196428571428,LiCF,3,0.018,0.065,215600,98.0,10.698385905719988,0.1091672031195917,Aluminizedmylar,0.03,1500,0.34,0.00025,5.7834e-10,0.01125,0.2886430959767345,6.876686205848621,6.459788681798479,6.145573898617052,0.8931532222749388,0.9995570173171517,0.3629910256510077,0.7297152512515772,0.6502991452991453,0.8916007406882149,0.999555827953601,0.347296523023494,0.5587442883248481,0.6504299754299754,0.8914164429932564,0.9995257605677841,0.24813575469589869,0.6095405184044623,0.6504975517295846
1200,VHF,0.3,60.0,0.1,8.0,0.59,1.1666666666666667,0.0329062499999999,74132.66352746598,100,0.3,0.9,10000.0,2.0,300000.0,0.045,CFRP_substrate2,0.185,84.0,0.03,7.586849999999999,0.0903196428571428,LiFe_18650,3,0.018,0.065,69730,57.75,3.460104124331423,0.0599152229321458,Aluminizedteflon_5mil,0.03,2200,0.66,0.005,1.12266e-09,0.33,0.5581411157892887,4.606666874392675,4.174386116722604,3.924173614771295,0.8468724715249906,0.4723417949399863,0.24903236260938022,0.4899719990896961,0.42504273504273504,0.8457175588536876,0.4059922579029493,0.24951619250445625,0.37949595837590894,0.3898648648648648,0.8457180704177337,0.3733551717609747,0.24975417837945935,0.34082551458975296,0.3462170273258569
1300,VHF,0.3,60.0,0.1,8.0,0.59,1.1666666666666667,0.0329062499999999,74132.66352746598,100,0.3,0.9,10000.0,2.0,300000.0,0.045,PCB1,0.18,95.0,0.03,7.381799999999999,0.0777031578947368,NiCd,3,0.018,0.065,54000,30.0,2.6795586220263417,0.0893186207342113,Aluminizedkapton_1mil,0.03,1420,0.67,0.001,1.1396699999999996e-09,0.0426,0.2875280286289482,4.216223808535821,3.945762668485508,3.8491162911484,0.8212126169309241,0.4147577529333121,0.2494073799712952,0.4164858245915262,0.3765811965811966,0.8204667805679374,0.3770401603407194,0.2497036968448346,0.3487448271718148,0.355036855036855,0.8203991738109391,0.35848701930184235,0.2497788781595137,0.33671851671485564,0.34157321118306744
1400,VHF,0.3,60.0,0.1,8.0,0.59,1.1666666666666667,0.0329062499999999,74132.66352746598,100,0.3,0.9,10000.0,2.0,300000.0,0.045,PCB1,0.18,95.0,0.03,7.381799999999999,0.0777031578947368,LiSO2,3,0.021,0.07,144000,90.0,10.473944243362228,0.1163771582595803,Betacloth,0.03,1600,0.86,0.003,1.4628599999999996e-09,0.144,0.4159865661543171,4.321555911257235,4.064323412941022,3.9179948202682953,0.9039839712534091,0.42947699826174524,0.2494166396592437,0.4146657335822836,0.37538461538461537,0.9021019214288769,0.3994607945580415,0.24970832658163405,0.34798318924725524,0.3541769041769042,0.9024481159014108,0.384695937564601,0.24985180131967416,0.3246419872493838,0.3278628968567367
1500,VHF,0.3,60.0,0.1,8.0,0.59,1.1666666666666667,0.0329062499999999,74132.66352746598,100,0.3,0.9,10000.0,2.0,300000.0,0.045,PCB1,0.18,95.0,0.03,7.381799999999999,0.0777031578947368,LiIon_21700,3,0.018,0.065,228500,190.4,11.338502687648504,0.0595509594939522,Whitepaints_S13G-LO,0.03,1300,0.85,0.003,1.4458499999999995e-09,0.117,0.332160367388689,4.312691852031288,4.060490293486985,3.916702059115374,0.9058733455762205,0.42420386239817665,0.2494166396592437,0.4146657335822836,0.37538461538461537,0.9039533355454054,0.39676636239817664,0.24970832658163405,0.34798318924725524,0.3541769041769042,0.9043123363127947,0.3832699599964453,0.24985180131967416,0.3246419872493838,0.3278628968567367
1600,VHF,0.3,60.0,0.1,8.0,0.59,1.1666666666666667,0.0329062499999999,74132.66352746598,100,0.3,0.9,10000.0,2.0,300000.0,0.045,PCB1,0.18,95.0,0.03,7.381799999999999,0.0777031578947368,Li-polymer,3,0.018,0.065,169500,119.0,8.410836785804907,0.0706793007210496,Aluminizedkapton_2mil,0.03,1420,0.75,0.002,1.2757499999999999e-09,0.0852,0.3114887086157865,4.315089695951429,4.058399591413576,3.9122777532510473,0.897658074984569,0.4292775279340473,0.2494166396592437,0.4146657335822836,0.37538461538461537,0.8958956363044385,0.3993053057118251,0.24970832658163405,0.34798318924725524,0.3541769041769042,0.896194953291398,0.3845620830426597,0.24985180131967416,0.3246419872493838,0.3278628968567367
1700,VHF,0.3,60.0,0.1,8.0,0.59,1.1666666666666667,0.0329062499999999,74132.66352746598,100,0.3,0.9,10000.0,2.0,300000.0,0.045,PCB2,0.174,100.0,0.03,7.135739999999999,0.0713573999999999,NiH2_single,3,0.018,0.065,85500,57.0,4.242634484875041,0.0744321839451761,Astroquartz,0.03,2000,0.8,0.0015,1.3607999999999999e-09,0.09,0.3136958339451761,4.27358238706305,4.023382479499484,3.880278646149304,0.8635745168342348,0.4251679742454142,0.2494166396592437,0.4146657335822836,0.37538461538461537,0.8623524509408474,0.39724667794911783,0.24970832658163405,0.34798318924725524,0.3541769041769042,0.8624934967192562,0.3835122979803603,0.24985180131967416,0.3246419872493838,0.3278628968567367
1800,VHF,0.3,60.0,0.1,8.0,0.59,1.1666666666666667,0.0329062499999999,74132.66352746598,100,0.3,0.9,10000.0,2.0,300000.0,0.045,PCB2,0.174,100.0,0.03,7.135739999999999,0.0713573999999999,LiIon_18650,3,0.018,0.065,184500,155.1,9.155158625256668,0.059027457287277,Whitepaints_Z93,0.03,1300,0.92,0.001,1.5649199999999996e-09,0.039,0.247291107287277,4.287947542774753,4.045816194825004,3.906967657318498,0.900657487541634,0.4145602073658774,0.2494166396592437,0.4146657335822836,0.37538461538461537,0.8988920733837458,0.39184261477328486,0.24970832658163405,0.34798318924725524,0.3541769041769042,0.8992353265289078,0.38066791696086677,0.24985180131967416,0.3246419872493838,0.3278628968567367
1900,VHF,0.3,60.0,0.1,8.0,0.59,1.1666666666666667,0.0329062499999999,74132.66352746598,100,0.3,0.9,10000.0,2.0,300000.0,0.045,PCB2,0.174,100.0,0.03,7.135739999999999,0.0713573999999999,LiFePO4,3,0.021,0.07,103000,89.0,7.491779562960483,0.0841772984602301,Aluminizedkapton_5mil,0.03,1420,0.86,0.005,1.4628599999999996e-09,0.213,0.4464409484602301,4.314618363995119,4.056831613146517,3.9101216770549345,0.8938850290428264,0.43085410238825217,0.2494166396592437,0.4146657335822836,0.37538461538461537,0.8922365936431849,0.4001689172030669,0.24970832658163405,0.34798318924725524,0.3541769041769042,0.8925377679941441,0.38507499075091556,0.24985180131967416,0.3246419872493838,0.3278628968567367
