Communication_Communication band,Communication_Frequency [GHz],Communication_Beamwidth [deg],Communication_D_r [m],Communication_Required Eb/N0 [dB],Communication_Efficiency,Communication_D_antenna [m],Communication_Mass_communication [kg],Communication_Data Rate [bps],OBC_cpu_DMIPS,OBC_cpu_power_idle,OBC_power max,OBC_cpu efficiency,OBC_recovery rate,OBC_Throughtput per W,OBC_Mass_OBC,SolarArray_Solar Material,SolarArray_Efficiency,SolarArray_Specific Power [W/kg],SolarArray_A_solar [m^2],SolarArray_P_solar_max [W],SolarArray_Mass_solar_array [kg],Battery_Battery type,Battery_Number of cell,Battery_Diameter [m],Battery_Length [m],Battery_Volumetric Energy [Wh/m³],Battery_Specific Energy [Wh/kg],Battery_Capacity [Wh],Battery_Mass_battery [kg],Radiator_Radiator material,Radiator_A_radiator [m2],Radiator_rho [kg/m³],Radiator_emissivity,Radiator_thickness [m],Radiator_Q_rad [W/K⁴],Radiator_Mass_radiator [kg],CubeSat mass,score_4orbits,score_8orbits,score_15orbits,subscore_4_Power,subscore_4_Thermal,subscore_4_OBC,subscore_4_Comm,subscore_4_Payload,subscore_8_Power,subscore_8_Thermal,subscore_8_OBC,subscore_8_Comm,subscore_8_Payload,subscore_15_Power,subscore_15_Thermal,subscore_15_OBC,subscore_15_Comm,subscore_15_Payload
UHF2,0.8,75.0,0.1,12.0,0.57,0.35,0.624,22319.847604127903,250,1.0,2.0,18000.0,2.0,500000.0,0.065,CFRP_substrate1,0.15,69.0,0.03,6.1515,0.0891521739130434,LiSO2,3,0.021,0.07,144000,90.0,10.473944243362228,0.1163771582595803,Aluminizedmylar,0.03,1500,0.34,0.00025,5.7834e-10,0.01125,0.9057793321726236,8.011761035131345,7.528459667060654,7.401198977589507,0.8811072792418443,0.9998789811346456,0.6343350617165633,0.9083052152934956,0.6502991452991453,0.8824959223740184,0.9998789811346456,0.4574201074736607,0.9212016232391609,0.6504299754299754,0.8843425319554881,0.9998789811346456,0.4079436780333866,0.9464476028641899,0.6504975517295846
L_band1,1.35,60.0,0.09,9.0,0.62,0.2592592592592592,0.0828934936523437,50122.333674452246,100,0.3,0.9,10000.0,2.0,300000.0,0.045,PCB1,0.18,95.0,0.03,7.381799999999999,0.0777031578947368,LiSO2,3,0.021,0.07,144000,90.0,10.473944243362228,0.1163771582595803,Aluminizedkapton_0.5mil,0.03,1420,0.55,0.0005,9.3555e-10,0.0213,0.3432738098066609,5.237669858013737,4.954170674355013,4.6952931695297355,0.9041660808493516,0.5206892945337771,0.26442492308380017,0.6670238185893315,0.47470085470085466,0.8954763907317754,0.35430503527451784,0.35554185891830276,0.5046716811072594,0.5242321867321866,0.8905886920250196,0.27560573903572305,0.29251464028828456,0.5759202830940944,0.5518717422208181
L_band2,1.7,45.0,0.075,13.0,0.55,0.2745098039215686,0.16552587890625,14142.198843223963,90,0.4,1.1,7000.0,1.5,300000.0,0.042,PCB2,0.174,100.0,0.03,7.135739999999999,0.0713573999999999,LiSO2,3,0.021,0.07,144000,90.0,10.473944243362228,0.1163771582595803,Blackpaints_3Mblackvelvet,0.03,1200,0.84,0.002,1.4288399999999996e-09,0.072,0.4672604371658302,4.658869176053188,4.285700642439537,4.026664680620444,0.9012167886194681,0.4348750119629296,0.35068958297543656,0.4254117825042068,0.37538461538461537,0.8997582490646319,0.4021967712221889,0.322490433143582,0.3497902266743014,0.3541769041769042,0.9002580549849659,0.3861224682857812,0.2872832555086151,0.3233200607917448,0.3278628968567367
UHF2,0.8,75.0,0.1,12.0,0.57,0.35,0.624,22319.847604127903,160,0.4,1.2,12000.0,2.5,400000.0,0.05,Polyimide2,0.148,75.0,0.03,6.06948,0.0809264,LiFe_21700,3,0.021,0.07,69730,57.75,5.071862028400334,0.0878244507082308,Maxorb,0.03,2100,0.1,0.0015,1.7009999999999999e-10,0.0945,0.9372508507082308,6.094362647540024,5.129738020477726,4.451679536163003,0.8589935589912957,0.6533502295143061,0.5108637273027132,0.5756255288860074,0.5094017094017094,0.8580432960870706,0.5115840258106024,0.43783009424306407,0.4102585468766423,0.45049140049140046,0.8584347030500137,0.44184976678004206,0.34660505035004474,0.3523743709000012,0.37739693571315747
S_band3,3.6,22.5,0.08,7.5,0.63,0.2592592592592592,0.8544252441773101,13231.153889448362,100,0.3,0.9,10000.0,2.0,300000.0,0.045,Polyimide2,0.148,75.0,0.03,6.06948,0.0809264,LiCF,3,0.018,0.065,215600,98.0,10.698385905719988,0.1091672031195917,Metallic_bareAl,0.03,2700,0.1,0.001,1.7009999999999999e-10,0.081,1.170518847296902,6.9362285015907705,5.622647311890512,4.720498349773622,0.89804808425434,0.6990399061690522,0.5886972258932147,0.779581771423993,0.5572649572649573,0.8956823875365637,0.5344496283912744,0.49384786404415804,0.4902385941240954,0.48488943488943487,0.8959089812992914,0.4534882937105774,0.37541584324312116,0.3889584522907078,0.3950876638761649
S_band3,3.6,22.5,0.08,7.5,0.63,0.2592592592592592,0.8544252441773101,13231.153889448362,90,0.4,1.1,7000.0,1.5,300000.0,0.042,Carbon_fiber,0.21,84.5,0.03,8.6121,0.1019183431952662,LiSO2,3,0.021,0.07,144000,90.0,10.473944243362228,0.1163771582595803,Silveredteflon_2mil,0.03,2100,0.66,0.002,1.12266e-09,0.126,1.240720745632157,7.847029811971109,6.959371870814255,6.4190338179262465,0.8873117523402866,0.7902401808024537,0.7210513779681467,0.9049233123622638,0.6502991452991453,0.8859334787935104,0.5220411067283797,0.6418932351630656,0.8454366200344401,0.6504299754299754,0.8856592245485976,0.40290202159398747,0.6438021056263299,0.7427718491472755,0.6386668772705734
UHF2,0.8,75.0,0.1,12.0,0.57,0.35,0.624,22319.847604127903,90,0.4,1.1,7000.0,1.5,300000.0,0.042,Triple_junction_GaAs,0.22,46.0,0.03,9.0222,0.1961347826086956,LiSO2,3,0.021,0.07,144000,90.0,10.473944243362228,0.1163771582595803,Metallic_VDG,0.03,8400,0.03,0.001,5.102999999999999e-11,0.252,1.230511940868276,4.83435371750533,4.356745977067312,4.060385961473944,0.8986639807618089,0.5288987735890154,0.3235347105551596,0.45743023980855585,0.37538461538461537,0.8968696382436044,0.449340903218645,0.3029749657990807,0.36297685684591136,0.3541769041769042,0.8971674218642882,0.41020668790226067,0.2772465534071209,0.3299148986813174,0.3278628968567367
X_band1,8.0,10.0,0.05,12.0,0.7,0.2625,0.27,0.0009850618687046,140,0.6,1.5,8000.0,2.0,400000.0,0.058,Triple_junction_GaAs,0.22,46.0,0.03,9.0222,0.1961347826086956,LiSOCl2,3,0.021,0.07,176000,110.0,12.801487408553836,0.1163771582595803,Metallic_VDG,0.03,8400,0.03,0.001,5.102999999999999e-11,0.252,0.892511940868276,4.860754129389199,4.401736300305801,4.085278086229939,0.8989651466256293,0.5004594176624628,0.37864752638567023,0.4243214190493425,0.37538461538461537,0.8976724512017109,0.4350751584032036,0.34258307829498447,0.3486998632194371,0.3541769041769042,0.8982178632902932,0.4029128887466354,0.2976167973780822,0.32222969733688056,0.3278628968567367
C_band,4.0,22.5,0.075,8.0,0.5,0.2333333333333333,1.172051089406461,8225.61147464575,60,0.25,0.7,6000.0,1.2,300000.0,0.038,Additive_manufacture_substrate,0.199,53.6,0.03,8.16099,0.1522572761194029,LiCF,3,0.018,0.065,215600,98.0,10.698385905719988,0.1091672031195917,Silveredteflon_5mil,0.03,2100,0.78,0.005,1.3267799999999996e-09,0.315,1.786475568645456,7.0337318401499225,5.65655141095281,4.705014290674093,0.8960058209108293,0.6472903078729383,0.6151289127543924,0.8659468258811518,0.5572649572649573,0.8937831019276893,0.4935773449099753,0.5114489412810459,0.5293297835445543,0.48488943488943487,0.8938835451981322,0.4179665202171071,0.3844679853566395,0.40628299427985565,0.3950876638761649
S_band3,3.6,22.5,0.08,7.5,0.63,0.2592592592592592,0.8544252441773101,13231.153889448362,100,0.3,0.9,10000.0,2.0,300000.0,0.045,Additive_manufacture_substrate,0.199,53.6,0.03,8.16099,0.1522572761194029,NiH2_common,3,0.046,0.08,84000,56.0,33.50395467717985,0.5982849049496402,Aluminizedteflon_5mil,0.03,2200,0.66,0.005,1.12266e-09,0.33,1.9799674252463533,8.116632333164539,7.310511257258636,5.92761314331669,0.9106434788971378,0.9116746095366054,0.7210513053437491,0.9049233123622638,0.6502991452991453,0.9091321387310606,0.6352301650921609,0.6255817931252863,0.8885788639222434,0.6504299754299754,0.9092794511633207,0.4899568162334342,0.44406018047819207,0.7175920838378718,0.5154951824356342
X_band2,8.0,15.0,0.1,14.0,0.82,0.175,0.27,93.74590453415132,500,1.5,3.0,20000.0,3.0,500000.0,0.075,PCB2,0.174,100.0,0.03,7.135739999999999,0.0713573999999999,LiFePO4,3,0.021,0.07,103000,89.0,7.491779562960483,0.0841772984602301,Aluminizedteflon_5mil,0.03,2200,0.66,0.005,1.12266e-09,0.33,0.8305346984602302,8.194871204387926,7.891970200026695,7.31529504497677,0.7916837629920587,0.9423524847520188,0.8463948626832296,0.9000348828510771,0.6502991452991453,0.7947343160021125,0.7773316514186854,0.8464724741291121,0.9000890492347169,0.6504299754299754,0.7686705256614836,0.5499447509584997,0.8462869454110169,0.9001950852273355,0.6504975517295846
S_band2,2.0,30.0,0.1,15.0,0.68,0.35,0.1465063861758076,12726.763832425344,250,1.0,2.0,18000.0,2.0,500000.0,0.065,Triple_junction_GaAs,0.22,46.0,0.03,9.0222,0.1961347826086956,LiSO2,3,0.021,0.07,144000,90.0,10.473944243362228,0.1163771582595803,Aluminizedkapton_1mil,0.03,1420,0.67,0.001,1.1396699999999996e-09,0.0426,0.5666183270440835,7.757488062549025,7.208084614228688,6.859068854596201,0.8634673020910193,0.7618512511033008,0.7258629373774577,0.9047356288220454,0.6502991452991453,0.8639111172124064,0.6071220844366341,0.6253403439674421,0.9120891529644208,0.6504299754299754,0.8646026619107384,0.4879219716880384,0.597138528604903,0.9264843955352771,0.6504975517295846
VHF,0.3,60.0,0.1,8.0,0.59,1.1666666666666667,0.0329062499999999,74132.66352746598,1000,1.5,2.5,25000.0,4.0,600000.0,0.12,Carbon_fiber,0.21,84.5,0.03,8.6121,0.1019183431952662,Li-polymer,3,0.018,0.065,169500,119.0,8.410836785804907,0.0706793007210496,Aluminizedkapton_1mil,0.03,1420,0.67,0.001,1.1396699999999996e-09,0.0426,0.3681038939163158,6.397829896055304,5.851616095982632,5.377627125836238,0.8209751176194264,0.7580034735547649,0.3629908251917677,0.7297152512515772,0.6502991452991453,0.8232325528536076,0.6603020846658759,0.347296399701554,0.5587442883248481,0.6504299754299754,0.8239035335206504,0.5548038541969864,0.24813575469589869,0.6095405184044623,0.6504975517295846
UHF2,0.8,75.0,0.1,12.0,0.57,0.35,0.624,22319.847604127903,250,1.0,2.0,18000.0,2.0,500000.0,0.065,CFRP_substrate1,0.15,69.0,0.03,6.1515,0.0891521739130434,LiFePO4,3,0.021,0.07,103000,89.0,7.491779562960483,0.0841772984602301,Aluminizedkapton_2mil,0.03,1420,0.75,0.002,1.2757499999999999e-09,0.0852,0.9475294723732736,5.790886605151543,4.915465567333818,4.33676089646249,0.8641646543386908,0.5679400871834459,0.42039709384718926,0.6648850417992698,0.47470085470085466,0.8651510263509694,0.4688706427390015,0.3727554639041408,0.4459650513811777,0.4255528255528256,0.8659591063863672,0.4201387579849901,0.3131366779991759,0.3693354661024927,0.36457115779497706
C_band,4.0,22.5,0.075,8.0,0.5,0.2333333333333333,1.172051089406461,8225.61147464575,1000,1.5,2.5,25000.0,4.0,600000.0,0.12,Polyimide2,0.148,75.0,0.03,6.06948,0.0809264,NiH2_individual,3,0.021,0.07,64500,43.0,4.691454192339331,0.1091035858683565,Whitepaints_Z93,0.03,1300,0.92,0.001,1.5649199999999996e-09,0.039,1.5210810752748176,5.581876233350047,4.637465342773481,4.015382269572199,0.5661390169797409,0.5944445977935262,0.4986550680379363,0.6802151356005677,0.47470085470085466,0.5413651136802404,0.4821506163120448,0.42899737699400836,0.4501137478224119,0.4255528255528256,0.5305310279918863,0.42691363184310127,0.34206159808722636,0.3695702858762671,0.36457115779497706
S_band2,2.0,30.0,0.1,15.0,0.68,0.35,0.1465063861758076,12726.763832425344,500,1.5,3.0,20000.0,3.0,500000.0,0.075,CFRP_substrate2,0.185,84.0,0.03,7.586849999999999,0.0903196428571428,LiFe_18650,3,0.018,0.065,69730,57.75,3.460104124331423,0.0599152229321458,Silveredteflon_5mil,0.03,2100,0.78,0.005,1.3267799999999996e-09,0.315,0.6867412519650964,6.889935972267907,5.97268936471213,5.313077510920578,0.6096672740488549,0.6011328881733367,0.727788232105328,0.8951469692949021,0.6502991452991453,0.6135478942736557,0.35932270298815155,0.6688911879426109,0.7924292353883677,0.6504299754299754,0.6089971013165286,0.21578940822871237,0.6738730018740711,0.7349565856171882,0.6504975517295846
L_band1,1.35,60.0,0.09,9.0,0.62,0.2592592592592592,0.0828934936523437,50122.333674452246,500,1.5,3.0,20000.0,3.0,500000.0,0.075,Triple_junction_GaAs,0.22,46.0,0.03,9.0222,0.1961347826086956,Li-polymer,3,0.018,0.065,169500,119.0,8.410836785804907,0.0706793007210496,Aluminizedkapton_2mil,0.03,1420,0.75,0.002,1.2757499999999999e-09,0.0852,0.5099075769820891,6.712823880013707,5.876034927171839,5.42062462041496,0.816910363841521,0.6977521377884999,0.45652271427649677,0.8055177405081972,0.6502991452991453,0.818894320539964,0.5580947303810925,0.3548623115232219,0.6640880067061814,0.6504299754299754,0.8193738282469261,0.47687177588652596,0.2547472210151861,0.7227828482889846,0.6504975517295846
UHF2,0.8,75.0,0.1,12.0,0.57,0.35,0.624,22319.847604127903,250,1.0,2.0,18000.0,2.0,500000.0,0.065,Additive_manufacture_substrate,0.199,53.6,0.03,8.16099,0.1522572761194029,LiIon_18650,3,0.018,0.065,184500,155.1,9.155158625256668,0.059027457287277,Aluminizedkapton_2mil,0.03,1420,0.75,0.002,1.2757499999999999e-09,0.0852,0.98548473340668,7.253513230261285,6.3705952249977305,5.885159759184496,0.8544139638946224,0.6300011939321025,0.6371393507953781,0.9002947461858952,0.6502991452991453,0.8553017145180931,0.442133138376547,0.5391041799010541,0.7913241178435431,0.6504299754299754,0.8558767857861987,0.362280847477111,0.5079448895648253,0.7230022589236749,0.6199810456483967
UHF2,0.8,75.0,0.1,12.0,0.57,0.35,0.624,22319.847604127903,500,1.5,3.0,20000.0,3.0,500000.0,0.075,Carbon_fiber,0.21,84.5,0.03,8.6121,0.1019183431952662,NaS,3,0.046,0.08,399000,210.0,159.14378471660427,0.7578275462695442,Quartzmirror,0.03,1333,0.8,0.008,1.3607999999999999e-09,0.31992,1.8786658894648105,8.070630769387716,7.118846301687741,6.138320375735352,0.9244852625148432,0.9884932636931547,0.6343350322532642,0.9083052152934956,0.6502991452991453,0.9242852091399997,0.7217247451746363,0.45742009621271923,0.9212016232391609,0.6504299754299754,0.9269940353999789,0.3743073703034699,0.4079436695354688,0.9464476028641899,0.6504975517295846
S_band1,2.4,30.0,0.1,11.0,0.71,0.2916666666666667,0.2531630353117955,33378.25204760728,250,1.0,2.0,18000.0,2.0,500000.0,0.065,Triple_junction_GaAs,0.22,46.0,0.03,9.0222,0.1961347826086956,LiSO2,3,0.021,0.07,144000,90.0,10.473944243362228,0.1163771582595803,Aluminizedkapton_2mil,0.03,1420,0.75,0.002,1.2757499999999999e-09,0.0852,0.7158749761800716,7.0775995810374495,5.935763799037897,5.487165041137901,0.8634673020949033,0.6588387796985862,0.5465456497057286,0.878345270847565,0.6502991452991453,0.8639111172274929,0.43997072414303073,0.3601385549997983,0.8275991701217749,0.6504299754299754,0.8646026619769112,0.29953147394242907,0.3809512158503573,0.7751148413155353,0.6504975517295846
L_band2,1.7,45.0,0.075,13.0,0.55,0.2745098039215686,0.16552587890625,14142.198843223963,500,1.5,3.0,20000.0,3.0,500000.0,0.075,PCB1,0.18,95.0,0.03,7.381799999999999,0.0777031578947368,LiFePO4,3,0.021,0.07,103000,89.0,7.491779562960483,0.0841772984602301,Whitepaints_chemglazeA276,0.03,1300,0.88,0.001,1.49688e-09,0.039,0.4414063352612169,5.000879162129154,4.462438092980648,4.197632353789286,0.830170241860212,0.4438831841740732,0.3162652415166941,0.6885975984468871,0.3897435897435897,0.8336450051506891,0.40672114713703617,0.24965276974004047,0.5735266260756233,0.3644963144963145,0.834632913895754,0.38844128177321313,0.26066797564924793,0.4475591420926038,0.3445585215605749
UHF1,0.5,60.0,0.08,10.0,0.51,0.7,0.15234375,25876.622507867574,500,1.5,3.0,20000.0,3.0,500000.0,0.075,Triple_junction_GaAs,0.22,46.0,0.03,9.0222,0.1961347826086956,LiSO2,3,0.021,0.07,144000,90.0,10.473944243362228,0.1163771582595803,Whitepaints_chemglazeA276,0.03,1300,0.88,0.001,1.49688e-09,0.039,0.578855690868276,5.611604158721256,5.057805658585675,4.89428437107414,0.8601512584771157,0.49613274738208496,0.3640795071995656,0.754477288225311,0.47470085470085466,0.8555455804701052,0.3024637659006036,0.3631818058848022,0.6718099264801697,0.5242321867321866,0.8485293069211026,0.21536169259190874,0.4085097122861092,0.6694582613924986,0.5619333438635287
C_band,4.0,22.5,0.075,8.0,0.5,0.2333333333333333,1.172051089406461,8225.61147464575,500,1.5,3.0,20000.0,3.0,500000.0,0.075,Carbon_fiber,0.21,84.5,0.03,8.6121,0.1019183431952662,LiIon_18650,3,0.018,0.065,184500,155.1,9.155158625256668,0.059027457287277,Whitepaints_Z93,0.03,1300,0.92,0.001,1.5649199999999996e-09,0.039,1.4469968898890042,7.534580815609051,6.489753741635641,5.280634718596916,0.8317544768092149,0.6466242607973082,0.768808515910238,0.9030607500297154,0.6502991452991453,0.8340979940410881,0.49323305709360443,0.6146393900396303,0.7838704863738613,0.5807739557739557,0.8348568653814741,0.41778050456253846,0.4022198175996714,0.6586161411345688,0.4444005686305481
C_band,4.0,22.5,0.075,8.0,0.5,0.2333333333333333,1.172051089406461,8225.61147464575,500,1.5,3.0,20000.0,3.0,500000.0,0.075,Polyimide1,0.28,50.0,0.03,11.4828,0.229656,Li-polymer,3,0.018,0.065,169500,119.0,8.410836785804907,0.0706793007210496,Silveredteflon_2mil,0.03,2100,0.66,0.002,1.12266e-09,0.126,1.6733863901275106,8.169940222214631,8.039205353174088,8.01378610637894,0.8062879094757389,0.9998984881433022,0.768808515910238,0.9030607500297154,0.6502991452991453,0.8077179903096253,0.9998984881433022,0.7041298501410811,0.9078135083397658,0.6504299754299754,0.8077883456095456,0.9998922615115895,0.6859102567250104,0.9171174974787377,0.6504975517295846
C_band,4.0,22.5,0.075,8.0,0.5,0.2333333333333333,1.172051089406461,8225.61147464575,160,0.4,1.2,12000.0,2.5,400000.0,0.05,FlexiblePV,0.3,100.0,0.03,12.303,0.1230299999999999,LiSOCl2,3,0.021,0.07,176000,110.0,12.801487408553836,0.1163771582595803,Aluminizedkapton_2mil,0.03,1420,0.75,0.002,1.2757499999999999e-09,0.0852,1.546658247666041,8.32304278543944,7.939197388199043,7.325295482342691,0.8918971284517905,0.9918530167386255,0.768808898838123,0.9030607500297154,0.6502991452991453,0.8899536878222757,0.8524432945164031,0.7041300907628225,0.9078135083397658,0.6504299754299754,0.8895379321770496,0.5794596216086503,0.6859104851419844,0.9171174974787377,0.6504975517295846
L_band1,1.35,60.0,0.09,9.0,0.62,0.2592592592592592,0.0828934936523437,50122.333674452246,100,0.3,0.9,10000.0,2.0,300000.0,0.045,Polyimide1,0.28,50.0,0.03,11.4828,0.229656,LiSO2,3,0.021,0.07,144000,90.0,10.473944243362228,0.1163771582595803,Quartzmirror,0.03,1333,0.8,0.008,1.3607999999999999e-09,0.31992,0.793846651911924,6.323992407102485,5.3703515820986505,4.846750080069681,0.8912249136051402,0.5865449828493785,0.4551544655218269,0.7042658816263374,0.6036324786324787,0.8890780089811873,0.36892924210863787,0.3550430021231666,0.6217855517051013,0.616891891891892,0.8862602178658231,0.2587088198562709,0.3035037412798361,0.634058311292504,0.6061601642710472
UHF1,0.5,60.0,0.08,10.0,0.51,0.7,0.15234375,25876.622507867574,500,1.5,3.0,20000.0,3.0,500000.0,0.075,Polyimide1,0.28,50.0,0.03,11.4828,0.229656,LiSO2,3,0.021,0.07,144000,90.0,10.473944243362228,0.1163771582595803,Silveredteflon_2mil,0.03,2100,0.66,0.002,1.12266e-09,0.126,0.6993769082595803,7.841864228357016,7.238342176340121,7.0676284654943125,0.8351998383634233,0.999742967092343,0.6003997478223867,0.9096286912351774,0.6502991452991453,0.8363493341096874,0.999742967092343,0.3951612371146254,0.9245802037202233,0.6504299754299754,0.836901740282102,0.9997282329037351,0.3412981599944821,0.9493634660609123,0.6504975517295846
UHF2,0.8,75.0,0.1,12.0,0.57,0.35,0.624,22319.847604127903,90,0.4,1.1,7000.0,1.5,300000.0,0.042,Polyimide1,0.28,50.0,0.03,11.4828,0.229656,LiFePO4,3,0.021,0.07,103000,89.0,7.491779562960483,0.0841772984602301,Blackpaints_chemglazeZ306,0.03,1200,0.89,0.0015,1.5138899999999996e-09,0.054,1.03383329846023,6.041970520218851,5.266818611988553,4.705183418046891,0.8793639532673982,0.562664201774657,0.4229278193393555,0.772127240464288,0.4983333333333333,0.8774182951322873,0.43619660918206454,0.3097870573201258,0.7055570367852724,0.48445945945945945,0.8720336074201338,0.3739876790533048,0.2754047262231214,0.5940154541589413,0.4322381930184805
UHF2,0.8,75.0,0.1,12.0,0.57,0.35,0.624,22319.847604127903,160,0.4,1.2,12000.0,2.5,400000.0,0.05,FlexiblePV,0.3,100.0,0.03,12.303,0.1230299999999999,LiIon_18650,3,0.018,0.065,184500,155.1,9.155158625256668,0.059027457287277,Whitepaints_S13G-LO,0.03,1300,0.85,0.003,1.4458499999999995e-09,0.117,0.973057457287277,7.356185136779846,6.39231804949604,5.803027781707915,0.8772324165472674,0.669703464620246,0.6474410842329505,0.870868533137567,0.6502991452991453,0.8754939331523441,0.4396108720276534,0.5426414948075635,0.7857000164014367,0.6504299754299754,0.8746798884448318,0.28856612206315624,0.5559901754717266,0.723343965969879,0.6482862107092087
L_band1,1.35,60.0,0.09,9.0,0.62,0.2592592592592592,0.0828934936523437,50122.333674452246,160,0.4,1.2,12000.0,2.5,400000.0,0.05,FlexiblePV,0.3,100.0,0.03,12.303,0.1230299999999999,LiSOCl2,3,0.021,0.07,176000,110.0,12.801487408553836,0.1163771582595803,Blackpaints_3Mblackvelvet,0.03,1200,0.84,0.002,1.4288399999999996e-09,0.072,0.4443006519119241,5.276928658778938,5.0773246665237695,4.918665405418464,0.9014672240860119,0.542116288552452,0.2644249071310943,0.6670238185893315,0.47470085470085466,0.8947138679631784,0.40092878855245206,0.35554178340930603,0.5046716811072594,0.5242321867321866,0.889395349038626,0.3253125142352165,0.3080089641993129,0.5759202830940944,0.5609382404043595
S_band2,2.0,30.0,0.1,15.0,0.68,0.35,0.1465063861758076,12726.763832425344,160,0.4,1.2,12000.0,2.5,400000.0,0.05,Triple_junction_GaAs,0.22,46.0,0.03,9.0222,0.1961347826086956,NiH2_single,3,0.018,0.065,85500,57.0,4.242634484875041,0.0744321839451761,Aluminizedmylar,0.03,1500,0.34,0.00025,5.7834e-10,0.01125,0.4783233527296794,8.095300958581022,7.8677475970227215,7.813338493350058,0.8167289803093974,0.9967754722549194,0.7258632523416064,0.9047356288220454,0.6502991452991453,0.8161814896852586,0.9956597315141786,0.6253405227198436,0.9120891529644208,0.6504299754299754,0.8140849832917683,0.9939269475375694,0.5971386921450603,0.9264843955352771,0.6504975517295846
S_band2,2.0,30.0,0.1,15.0,0.68,0.35,0.1465063861758076,12726.763832425344,140,0.6,1.5,8000.0,2.0,400000.0,0.058,PCB1,0.18,95.0,0.03,7.381799999999999,0.0777031578947368,NiH2_common,3,0.046,0.08,84000,56.0,33.50395467717985,0.5982849049496402,Aluminizedkapton_0.5mil,0.03,1420,0.55,0.0005,9.3555e-10,0.0213,0.9017944490201846,8.106030281074885,7.417239457397211,6.84817211763571,0.9170594724709852,0.893622128987666,0.7258632625206642,0.9047356288220454,0.6502991452991453,0.9159216361711862,0.6606915734321105,0.6253405268175293,0.9120891529644208,0.6504299754299754,0.9171061857726656,0.4563464979309547,0.597138695851499,0.9264843955352771,0.6504975517295846
X_band1,8.0,10.0,0.05,12.0,0.7,0.2625,0.27,0.0009850618687046,100,0.3,0.9,10000.0,2.0,300000.0,0.045,PCB1,0.18,95.0,0.03,7.381799999999999,0.0777031578947368,NiH2_individual,3,0.021,0.07,64500,43.0,4.691454192339331,0.1091035858683565,Aluminizedmylar,0.03,1500,0.34,0.00025,5.7834e-10,0.01125,0.5130567437630934,8.398333765960256,8.398667190189975,8.39570708007401,0.8427147134694328,0.9997631985615054,0.8472903029576675,0.9000000003665414,0.6502991452991453,0.8418938759006301,0.9997631985615054,0.8481141437147757,0.9000000009357101,0.6504299754299754,0.8403122433101485,0.9997508117423377,0.8481365052298746,0.9000000020499137,0.6504975517295846
X_band2,8.0,15.0,0.1,14.0,0.82,0.175,0.27,93.74590453415132,500,1.5,3.0,20000.0,3.0,500000.0,0.075,CFRP_substrate2,0.185,84.0,0.03,7.586849999999999,0.0903196428571428,LiFe_21700,3,0.021,0.07,69730,57.75,5.071862028400334,0.0878244507082308,Aluminizedmylar,0.03,1500,0.34,0.00025,5.7834e-10,0.01125,0.5343940935653737,7.930868328072522,7.612162896687185,7.258694420243636,0.7282682342392395,0.869694626964755,0.8463948626832296,0.9000348828510771,0.6502991452991453,0.7315975389121114,0.7049677751129031,0.8464724741291121,0.9000890492347169,0.6504299754299754,0.7298951918195695,0.5570986680321214,0.8462869454110169,0.9001950852273355,0.6504975517295846
X_band1,8.0,10.0,0.05,12.0,0.7,0.2625,0.27,0.0009850618687046,1000,1.5,2.5,25000.0,4.0,600000.0,0.12,Additive_manufacture_substrate,0.199,53.6,0.03,8.16099,0.1522572761194029,LiFe_18650,3,0.018,0.065,69730,57.75,3.460104124331423,0.0599152229321458,Aluminizedkapton_0.5mil,0.03,1420,0.55,0.0005,9.3555e-10,0.0213,0.6234724990515489,7.872077901130396,7.883557852974388,7.875500135704342,0.609745359159068,0.9997951284279498,0.8472892634253475,0.9000000003665414,0.6502991452991453,0.6134840801225662,0.9997951284279498,0.8481133976882098,0.9000000009357101,0.6504299754299754,0.6102818790160697,0.9997851607074211,0.8481357675608996,0.9000000020499137,0.6504975517295846
X_band1,8.0,10.0,0.05,12.0,0.7,0.2625,0.27,0.0009850618687046,60,0.25,0.7,6000.0,1.2,300000.0,0.038,Triple_junction_GaAs,0.22,46.0,0.03,9.0222,0.1961347826086956,LiIon_21700,3,0.018,0.065,228500,190.4,11.338502687648504,0.0595509594939522,Aluminizedmylar,0.03,1500,0.34,0.00025,5.7834e-10,0.01125,0.5749357421026479,8.500790486446231,8.499065613764664,8.498642021424757,0.8954070489504959,0.9997411243319494,0.847291410418038,0.9000000003665414,0.6502991452991453,0.8934506831295885,0.9997411243319494,0.8481149334235312,0.9000000009357101,0.6504299754299754,0.8931117263154968,0.9997411243319494,0.848137285952236,0.9000000020499137,0.6504975517295846
C_band,4.0,22.5,0.075,8.0,0.5,0.2333333333333333,1.172051089406461,8225.61147464575,1000,1.5,2.5,25000.0,4.0,600000.0,0.12,Polyimide1,0.28,50.0,0.03,11.4828,0.229656,NiH2_common,3,0.046,0.08,84000,56.0,33.50395467717985,0.5982849049496402,Aluminizedmylar,0.03,1500,0.34,0.00025,5.7834e-10,0.01125,2.131241994356101,8.208943641286467,6.699080909636744,5.330692380645864,0.9130319868320643,0.9042781827721584,0.7688084967527122,0.9030607500297154,0.6502991452991453,0.9131119749325428,0.6115929975869732,0.568439052128987,0.7703052201597302,0.5517506142506143,0.9140498449415283,0.4779384195126273,0.39865654769548803,0.5754935872934874,0.42947401674301056
