Communication_Communication band,Communication_Frequency [GHz],Communication_Beamwidth [deg],Communication_D_r [m],Communication_Required Eb/N0 [dB],Communication_Efficiency,Communication_D_antenna [m],Communication_Mass_communication [kg],Communication_Data Rate [bps],OBC_cpu_DMIPS,OBC_cpu_power_idle,OBC_power max,OBC_cpu efficiency,OBC_recovery rate,OBC_Throughtput per W,OBC_Mass_OBC,SolarArray_Solar Material,SolarArray_Efficiency,SolarArray_Specific Power [W/kg],SolarArray_A_solar [m^2],SolarArray_P_solar_max [W],SolarArray_Mass_solar_array [kg],Battery_Battery type,Battery_Number of cell,Battery_Diameter [m],Battery_Length [m],Battery_Volumetric Energy [Wh/m³],Battery_Specific Energy [Wh/kg],Battery_Capacity [Wh],Battery_Mass_battery [kg],Radiator_Radiator material,Radiator_A_radiator [m2],Radiator_rho [kg/m³],Radiator_emissivity,Radiator_thickness [m],Radiator_Q_rad [W/K⁴],Radiator_Mass_radiator [kg],CubeSat mass,score_4orbits,score_8orbits,score_15orbits,subscore_4_Power,subscore_4_Thermal,subscore_4_OBC,subscore_4_Comm,subscore_4_Payload,subscore_8_Power,subscore_8_Thermal,subscore_8_OBC,subscore_8_Comm,subscore_8_Payload,subscore_15_Power,subscore_15_Thermal,subscore_15_OBC,subscore_15_Comm,subscore_15_Payload,al_order
UHF2,0.8,75.0,0.1,12.0,0.57,0.35,0.624,22319.847604127903,250,1.0,2.0,18000.0,2.0,500000.0,0.065,CFRP_substrate1,0.15,69.0,0.03,6.1515,0.0891521739130434,LiFe_21700,3,0.021,0.07,69730,57.75,5.071862028400334,0.0878244507082308,Aluminizedteflon_2mil,0.03,2200,0.78,0.002,1.3267799999999996e-09,0.132,0.9979766246212745,5.705761851209491,4.85187003377538,4.2832411238673105,0.8151328594263346,0.5636826182911837,0.424517681902117,0.6531145565799383,0.47470085470085466,0.8165126750768312,0.46674280347636893,0.3757168200137435,0.4412565013366236,0.4255528255528256,0.8169238288054432,0.41905847547673136,0.3146596878689486,0.3670988381637026,0.36457115779497706,297
UHF2,0.8,75.0,0.1,12.0,0.57,0.35,0.624,22319.847604127903,140,0.6,1.5,8000.0,2.0,400000.0,0.058,Carbon_fiber,0.21,84.5,0.03,8.6121,0.1019183431952662,NiH2_single,3,0.018,0.065,85500,57.0,4.242634484875041,0.0744321839451761,Aluminizedkapton_1mil,0.03,1420,0.67,0.001,1.1396699999999996e-09,0.0426,0.9009505271404424,7.297278477417474,6.242482926944484,5.587616487349046,0.7907850265694839,0.6983646930897724,0.6343353246756878,0.9083052152934956,0.6502991452991453,0.7911423245051378,0.4313762671638465,0.5060769584363974,0.8438375301460006,0.6504299754299754,0.7892292909186872,0.26094435286410533,0.519461974739583,0.7826767349016714,0.6504975517295846,298
UHF2,0.8,75.0,0.1,12.0,0.57,0.35,0.624,22319.847604127903,250,1.0,2.0,18000.0,2.0,500000.0,0.065,PCB1,0.18,95.0,0.03,7.381799999999999,0.0777031578947368,LiSOCl2,3,0.021,0.07,176000,110.0,12.801487408553836,0.1163771582595803,Aluminizedkapton_1mil,0.03,1420,0.67,0.001,1.1396699999999996e-09,0.0426,0.9256803161543172,7.482862883132291,6.412802233460663,5.553969387134306,0.8859072457338263,0.7067844312620153,0.6343350617165633,0.9083052152934956,0.6502991452991453,0.8868071235092319,0.44251128311386717,0.4796302782243115,0.8858874979050049,0.6504299754299754,0.8885519734816236,0.22820956501824569,0.462306669000012,0.866612411160155,0.6504975517295846,299
L_band2,1.7,45.0,0.075,13.0,0.55,0.2745098039215686,0.16552587890625,14142.198843223963,500,1.5,3.0,20000.0,3.0,500000.0,0.075,PCB2,0.174,100.0,0.03,7.135739999999999,0.0713573999999999,Li-polymer,3,0.018,0.065,169500,119.0,8.410836785804907,0.0706793007210496,Metallic_VDG,0.03,8400,0.03,0.001,5.102999999999999e-11,0.252,0.6345625796272997,4.595082491564498,4.2359045781002145,3.982234367100932,0.8489331258227674,0.4309079244856832,0.3506893816886131,0.4254117825042068,0.37538461538461537,0.8528238865171414,0.4002458874486462,0.3224903314594904,0.3497902266743014,0.3541769041769042,0.8537957114273773,0.38516334748295533,0.28728320357845344,0.3233200607917448,0.3278628968567367,300
C_band,4.0,22.5,0.075,8.0,0.5,0.2333333333333333,1.172051089406461,8225.61147464575,100,0.3,0.9,10000.0,2.0,300000.0,0.045,Triple_junction_GaAs,0.22,46.0,0.03,9.0222,0.1961347826086956,NaS,3,0.046,0.08,399000,210.0,159.14378471660427,0.7578275462695442,Silveredteflon_2mil,0.03,2100,0.66,0.002,1.12266e-09,0.126,2.297013418284701,8.336954825770825,7.674398122596708,7.125317035159776,0.8971964135176739,0.9942620829523658,0.7688094003128849,0.9030607500297154,0.6502991452991453,0.8972300101980976,0.713620879248662,0.7041304051756188,0.9078135083397658,0.6504299754299754,0.8971588101315597,0.5002802529772048,0.6859107835888899,0.9171174974787377,0.6504975517295846,301
C_band,4.0,22.5,0.075,8.0,0.5,0.2333333333333333,1.172051089406461,8225.61147464575,100,0.3,0.9,10000.0,2.0,300000.0,0.045,Polyimide2,0.148,75.0,0.03,6.06948,0.0809264,LiFePO4,3,0.021,0.07,103000,89.0,7.491779562960483,0.0841772984602301,Aluminizedteflon_2mil,0.03,2200,0.78,0.002,1.3267799999999996e-09,0.132,1.5141547878666914,6.04120628172768,5.090964524557105,4.440648726833607,0.8959755914266649,0.5847916101814614,0.5035698091049774,0.6424529333009377,0.47470085470085466,0.8943933553087022,0.4773193879592391,0.43252937427801375,0.4352047524078245,0.4255528255528256,0.8947752168654449,0.42445420862003547,0.34387808586884383,0.3626607050539439,0.36457115779497706,302
C_band,4.0,22.5,0.075,8.0,0.5,0.2333333333333333,1.172051089406461,8225.61147464575,140,0.6,1.5,8000.0,2.0,400000.0,0.058,Carbon_fiber,0.21,84.5,0.03,8.6121,0.1019183431952662,NiH2_common,3,0.046,0.08,84000,56.0,33.50395467717985,0.5982849049496402,Aluminizedteflon_2mil,0.03,2200,0.78,0.002,1.3267799999999996e-09,0.132,2.062254337551368,8.048267023246895,6.865017161274977,5.356726694820576,0.9145000067072935,0.8178612150822745,0.7688089099306157,0.9030607500297154,0.6502991452991453,0.9131406472379586,0.5788751039711633,0.611394364467735,0.809977225125585,0.5824938574938575,0.9131339589450582,0.4613187404547924,0.43465653872562005,0.540975338035186,0.44528510503869845,303
S_band3,3.6,22.5,0.08,7.5,0.63,0.2592592592592592,0.8544252441773101,13231.153889448362,250,1.0,2.0,18000.0,2.0,500000.0,0.065,PCB2,0.174,100.0,0.03,7.135739999999999,0.0713573999999999,NiH2_common,3,0.046,0.08,84000,56.0,33.50395467717985,0.5982849049496402,Aluminizedkapton_2mil,0.03,1420,0.75,0.002,1.2757499999999999e-09,0.0852,1.67426754912695,7.807410189128302,6.374842894452112,5.095900982268522,0.9255264402520252,0.7386785542874481,0.7210505379944678,0.9049233123622638,0.6502991452991453,0.9255984705541219,0.5392804061393,0.5097372586201563,0.7499303970182418,0.5517506142506143,0.9263226513065931,0.44119721176782145,0.38358990473757587,0.510394278519413,0.42947401674301056,304
S_band2,2.0,30.0,0.1,15.0,0.68,0.35,0.1465063861758076,12726.763832425344,500,1.5,3.0,20000.0,3.0,500000.0,0.075,CFRP_substrate1,0.15,69.0,0.03,6.1515,0.0891521739130434,NaS,3,0.046,0.08,399000,210.0,159.14378471660427,0.7578275462695442,Aluminizedteflon_5mil,0.03,2200,0.66,0.005,1.12266e-09,0.33,1.398486106358395,8.338275704920209,7.550511710245029,6.516613704686619,0.9592150894208532,0.9839562217481115,0.7258629009467326,0.9047356288220454,0.6502991452991453,0.9664884467713413,0.6844330735999633,0.6253403236721996,0.9120891529644208,0.6504299754299754,0.9547507863230331,0.34202748489394635,0.5971385100463933,0.9264843955352771,0.6504975517295846,305
S_band3,3.6,22.5,0.08,7.5,0.63,0.2592592592592592,0.8544252441773101,13231.153889448362,250,1.0,2.0,18000.0,2.0,500000.0,0.065,Polyimide2,0.148,75.0,0.03,6.06948,0.0809264,LiSOCl2,3,0.021,0.07,176000,110.0,12.801487408553836,0.1163771582595803,Aluminizedkapton_2mil,0.03,1420,0.75,0.002,1.2757499999999999e-09,0.0852,1.2019288024368904,6.665057580825561,5.48039732429901,4.6511099278194115,0.8998407881650562,0.6009664141124283,0.5825221287571993,0.7577973790949031,0.5509829059829059,0.8995583603169562,0.48540391411242834,0.48939946892341846,0.4815972478147297,0.48037469287469287,0.9003535769991543,0.4285591577552502,0.37312790519674455,0.3849176276781808,0.39276575580477013,306
C_band,4.0,22.5,0.075,8.0,0.5,0.2333333333333333,1.172051089406461,8225.61147464575,500,1.5,3.0,20000.0,3.0,500000.0,0.075,Additive_manufacture_substrate,0.199,53.6,0.03,8.16099,0.1522572761194029,LiSO2,3,0.021,0.07,144000,90.0,10.473944243362228,0.1163771582595803,Blackpaints_3Mblackvelvet,0.03,1200,0.84,0.002,1.4288399999999996e-09,0.072,1.5876855237854444,7.911882966058375,7.204714919228536,6.749856629368121,0.8526435732820972,0.8053476840833492,0.768808515910238,0.9030607500297154,0.6502991452991453,0.8548861590802695,0.5503638877870529,0.7064793032395953,0.8978955070983021,0.6504299754299754,0.8562548898693896,0.43206626400209797,0.7120643512111535,0.8176254646079466,0.6504975517295846,307
UHF2,0.8,75.0,0.1,12.0,0.57,0.35,0.624,22319.847604127903,140,0.6,1.5,8000.0,2.0,400000.0,0.058,CFRP_substrate1,0.15,69.0,0.03,6.1515,0.0891521739130434,LiSOCl2,3,0.021,0.07,176000,110.0,12.801487408553836,0.1163771582595803,Metallic_anodizedAl,0.03,2750,0.88,0.002,1.49688e-09,0.165,1.052529332172624,4.818644066408371,4.3270373784310205,4.048176324483859,0.9061796746731542,0.4749722683726708,0.28868129022261735,0.556988927288733,0.37538461538461537,0.9057611227068395,0.4223727313356338,0.2779267716032534,0.4028033426394316,0.3541769041769042,0.9068634717819818,0.39649921815124667,0.26436439909643145,0.3488330433302502,0.3278628968567367,308
S_band3,3.6,22.5,0.08,7.5,0.63,0.2592592592592592,0.8544252441773101,13231.153889448362,250,1.0,2.0,18000.0,2.0,500000.0,0.065,FlexiblePV,0.3,100.0,0.03,12.303,0.1230299999999999,LiFePO4,3,0.021,0.07,103000,89.0,7.491779562960483,0.0841772984602301,Silveredteflon_2mil,0.03,2100,0.66,0.002,1.12266e-09,0.126,1.25263254263754,8.102257993845333,7.866064289566785,7.813839563429516,0.8230115040519715,0.9998475092509931,0.7210505379944678,0.9049233123622638,0.6502991452991453,0.8230888156022919,0.9998475092509931,0.6165113480286426,0.9125682730795868,0.6504299754299754,0.8223066668581447,0.9998475092509931,0.5871909451437352,0.927534031243942,0.6504975517295846,309
X_band2,8.0,15.0,0.1,14.0,0.82,0.175,0.27,93.74590453415132,100,0.3,0.9,10000.0,2.0,300000.0,0.045,Polyimide1,0.28,50.0,0.03,11.4828,0.229656,LiSOCl2,3,0.021,0.07,176000,110.0,12.801487408553836,0.1163771582595803,Aluminizedteflon_5mil,0.03,2200,0.66,0.005,1.12266e-09,0.33,0.9910331582595804,8.414657034946522,8.161790079274027,7.677026294992068,0.8956845764723235,0.9507819702004996,0.8463958786583259,0.9000348828510771,0.6502991452991453,0.8935630114832361,0.8179046553856848,0.846473202414131,0.9000890492347169,0.6504299754299754,0.8931713543720472,0.6024625279341406,0.8462876652890714,0.9001950852273355,0.6504975517295846,310
VHF,0.3,60.0,0.1,8.0,0.59,1.1666666666666667,0.0329062499999999,74132.66352746598,160,0.4,1.2,12000.0,2.5,400000.0,0.05,FlexiblePV,0.3,100.0,0.03,12.303,0.1230299999999999,LiFe_21700,3,0.021,0.07,69730,57.75,5.071862028400334,0.0878244507082308,Aluminizedteflon_5mil,0.03,2200,0.66,0.005,1.12266e-09,0.33,0.6237607007082309,6.574626953406614,6.013584948741656,5.493978482578817,0.8336306897131187,0.8554990337098105,0.3629909143963811,0.7297152512515772,0.6502991452991453,0.8324239232066729,0.7485291263024032,0.3472964546390981,0.5587442883248481,0.6504299754299754,0.8305209871226944,0.6125570818664097,0.24813575469589869,0.6095405184044623,0.6504975517295846,311
S_band1,2.4,30.0,0.1,11.0,0.71,0.2916666666666667,0.2531630353117955,33378.25204760728,160,0.4,1.2,12000.0,2.5,400000.0,0.05,FlexiblePV,0.3,100.0,0.03,12.303,0.1230299999999999,LiIon_18650,3,0.018,0.065,184500,155.1,9.155158625256668,0.059027457287277,Aluminizedteflon_5mil,0.03,2200,0.66,0.005,1.12266e-09,0.33,0.8152204925990726,7.703599337385343,6.848992746472469,6.3704677452721326,0.8772324165467908,0.9897981845714559,0.5438927012931194,0.8834473997041075,0.6502991452991453,0.8754939331498289,0.8879532771640485,0.36013860808393783,0.8275991701217731,0.6504299754299754,0.8746811283238246,0.7315125887735927,0.2908283616885349,0.866767505708328,0.6504975517295846,312
S_band1,2.4,30.0,0.1,11.0,0.71,0.2916666666666667,0.2531630353117955,33378.25204760728,100,0.3,0.9,10000.0,2.0,300000.0,0.045,Polyimide1,0.28,50.0,0.03,11.4828,0.229656,LiIon_18650,3,0.018,0.065,184500,155.1,9.155158625256668,0.059027457287277,Metallic_anodizedAl,0.03,2750,0.88,0.002,1.49688e-09,0.165,0.7518464925990725,5.406469621629673,4.760081010119631,4.388655849515148,0.8964705190887754,0.46019448306185073,0.31603113955256557,0.7463482597847579,0.47470085470085466,0.8947214452915156,0.36990976083962845,0.29575218628814626,0.5440826135158028,0.45887592137592137,0.8883672727618128,0.3254990476974091,0.2762117054779674,0.48395390759178153,0.4211814879166008,313
L_band2,1.7,45.0,0.075,13.0,0.55,0.2745098039215686,0.16552587890625,14142.198843223963,500,1.5,3.0,20000.0,3.0,500000.0,0.075,FlexiblePV,0.3,100.0,0.03,12.303,0.1230299999999999,LiSO2,3,0.021,0.07,144000,90.0,10.473944243362228,0.1163771582595803,Betacloth,0.03,1600,0.86,0.003,1.4628599999999996e-09,0.144,0.6239330371658303,7.697092254238456,7.2394408871272775,6.933210492661387,0.8330815763110438,0.7733211344231126,0.7123581976734452,0.9052623121895633,0.6502991452991453,0.8340117824736902,0.6682146529416311,0.6005641229610104,0.9134336746811784,0.6504299754299754,0.8343470433383652,0.5579306482352239,0.5692232945126083,0.929429915792749,0.6504975517295846,314
L_band2,1.7,45.0,0.075,13.0,0.55,0.2745098039215686,0.16552587890625,14142.198843223963,140,0.6,1.5,8000.0,2.0,400000.0,0.058,CFRP_substrate1,0.15,69.0,0.03,6.1515,0.0891521739130434,LiSO2,3,0.021,0.07,144000,90.0,10.473944243362228,0.1163771582595803,Aluminizedmylar,0.03,1500,0.34,0.00025,5.7834e-10,0.01125,0.4403052110788737,8.205127451581552,7.944350371634343,7.889123261942283,0.887047145397619,0.9997552428696541,0.7123585490442486,0.9052623121895633,0.6502991452991453,0.8870766966531972,0.9997552428696541,0.6005643127637897,0.9134336746811784,0.6504299754299754,0.8881997571229504,0.9997420280678238,0.5692234654559702,0.929429915792749,0.6504975517295846,315
UHF1,0.5,60.0,0.08,10.0,0.51,0.7,0.15234375,25876.622507867574,60,0.25,0.7,6000.0,1.2,300000.0,0.038,Polyimide2,0.148,75.0,0.03,6.06948,0.0809264,LiFePO4,3,0.021,0.07,103000,89.0,7.491779562960483,0.0841772984602301,Aluminizedmylar,0.03,1500,0.34,0.00025,5.7834e-10,0.01125,0.3666974484602301,7.920260435021302,7.205201331413074,6.935085820304695,0.8826373443254752,0.994251543911062,0.6004009983939234,0.9096286912351774,0.6502991452991453,0.8814522949286305,0.9270686735406916,0.39516160963363817,0.9245802037202233,0.6504299754299754,0.8810521005771522,0.8638636155578776,0.34129839333920187,0.9493634660609123,0.6504975517295846,316
S_band1,2.4,30.0,0.1,11.0,0.71,0.2916666666666667,0.2531630353117955,33378.25204760728,250,1.0,2.0,18000.0,2.0,500000.0,0.065,PCB2,0.174,100.0,0.03,7.135739999999999,0.0713573999999999,Li-polymer,3,0.018,0.065,169500,119.0,8.410836785804907,0.0706793007210496,Aluminizedkapton_0.5mil,0.03,1420,0.55,0.0005,9.3555e-10,0.0213,0.4814997360328452,7.404538031049228,6.51907708369656,6.0262584674898845,0.8513617285694912,0.8366980600103835,0.5438925060893349,0.8834473997041075,0.6502991452991453,0.8526243283125513,0.7123323192696429,0.3601385549997983,0.8275991701217731,0.6504299754299754,0.8537363504099724,0.5677144983483475,0.2908283416830997,0.866767505708328,0.6504975517295846,317
S_band3,3.6,22.5,0.08,7.5,0.63,0.2592592592592592,0.8544252441773101,13231.153889448362,16,0.1,0.3,5000.0,1.0,200000.0,0.035,CFRP_substrate2,0.185,84.0,0.03,7.586849999999999,0.0903196428571428,LiCF,3,0.018,0.065,215600,98.0,10.698385905719988,0.1091672031195917,Aluminizedkapton_0.5mil,0.03,1420,0.55,0.0005,9.3555e-10,0.0213,1.1102120901540449,7.09524726656181,6.344550722841504,5.769018274566006,0.8986422241901881,0.7915012604682662,0.7736903398810917,0.9049233123622638,0.36109401709401706,0.8964397241561135,0.5501725567645624,0.7029436186034108,0.8209957972639208,0.36117936117936117,0.8960148831052549,0.43195349973618546,0.6424625745075901,0.7276941453691894,0.3531511609540357,318
X_band2,8.0,15.0,0.1,14.0,0.82,0.175,0.27,93.74590453415132,500,1.5,3.0,20000.0,3.0,500000.0,0.075,Carbon_fiber,0.21,84.5,0.03,8.6121,0.1019183431952662,LiSOCl2,3,0.021,0.07,176000,110.0,12.801487408553836,0.1163771582595803,Aluminizedkapton_0.5mil,0.03,1420,0.55,0.0005,9.3555e-10,0.0213,0.5845955014548466,8.451480747590706,8.455578216515985,8.458649861154393,0.8706067156513142,0.9997616552201203,0.8463948626832296,0.9000348828510771,0.6502991452991453,0.8724111640421296,0.9997616552201203,0.8464724741291121,0.9000890492347169,0.6504299754299754,0.8740100337668658,0.999744161288538,0.8462869454110169,0.9001950852273355,0.6504975517295846,319
S_band3,3.6,22.5,0.08,7.5,0.63,0.2592592592592592,0.8544252441773101,13231.153889448362,100,0.3,0.9,10000.0,2.0,300000.0,0.045,PCB2,0.174,100.0,0.03,7.135739999999999,0.0713573999999999,LiFe_18650,3,0.018,0.065,69730,57.75,3.460104124331423,0.0599152229321458,Aluminizedkapton_0.5mil,0.03,1420,0.55,0.0005,9.3555e-10,0.0213,1.051997867109456,7.713781462573199,6.840043679297737,6.313512328601658,0.809730482672386,0.7948863479213453,0.7210513053437491,0.9049233123622638,0.6502991452991453,0.8093611915350416,0.5242729219954194,0.6421126296970263,0.844856231103214,0.6504299754299754,0.8069090257728629,0.4040373182148728,0.6452608785866452,0.7449430384913198,0.6401042489338178,320
X_band2,8.0,15.0,0.1,14.0,0.82,0.175,0.27,93.74590453415132,160,0.4,1.2,12000.0,2.5,400000.0,0.05,FlexiblePV,0.3,100.0,0.03,12.303,0.1230299999999999,LiIon_21700,3,0.018,0.065,228500,190.4,11.338502687648504,0.0595509594939522,Aluminizedmylar,0.03,1500,0.34,0.00025,5.7834e-10,0.01125,0.5138309594939522,7.56927328965337,6.8631509673609,6.351683442418277,0.887238277380558,0.6873056733884362,0.846633753902829,0.7400685824511124,0.6502991452991453,0.8853938128677543,0.49525937709213996,0.8385460066938202,0.6417708976060448,0.6452702702702702,0.8855321450206133,0.3814430145297705,0.8042932483979841,0.6085769926404259,0.625288264097299,321
S_band1,2.4,30.0,0.1,11.0,0.71,0.2916666666666667,0.2531630353117955,33378.25204760728,250,1.0,2.0,18000.0,2.0,500000.0,0.065,Triple_junction_GaAs,0.22,46.0,0.03,9.0222,0.1961347826086956,LiSO2,3,0.021,0.07,144000,90.0,10.473944243362228,0.1163771582595803,Aluminizedmylar,0.03,1500,0.34,0.00025,5.7834e-10,0.01125,0.6419249761800715,7.517705626980705,6.549636226426943,6.045900283701093,0.8634673020910194,0.889966641310697,0.5438925060893349,0.8834473997041075,0.6502991452991453,0.8639111172124065,0.7196587709403266,0.3601385549997983,0.8275991701217731,0.6504299754299754,0.8646026619107384,0.5697749041176219,0.2908283416830997,0.866767505708328,0.6504975517295846,322
UHF1,0.5,60.0,0.08,10.0,0.51,0.7,0.15234375,25876.622507867574,500,1.5,3.0,20000.0,3.0,500000.0,0.075,Triple_junction_GaAs,0.22,46.0,0.03,9.0222,0.1961347826086956,LiFePO4,3,0.021,0.07,103000,89.0,7.491779562960483,0.0841772984602301,Whitepaints_S13G-LO,0.03,1300,0.85,0.003,1.4458499999999995e-09,0.117,0.6246558310689259,6.896777322710391,5.951555973526247,5.5575418479529635,0.7985717657255781,0.5639288488213725,0.6216982010877583,0.8570377721579154,0.6502991452991453,0.8006885158349754,0.36825986733989113,0.49334300009402426,0.7891964117989747,0.6504299754299754,0.8008185115305899,0.2724684696123313,0.5051223627623528,0.7394709024447625,0.6504975517295846,323
L_band2,1.7,45.0,0.075,13.0,0.55,0.2745098039215686,0.16552587890625,14142.198843223963,100,0.3,0.9,10000.0,2.0,300000.0,0.045,Triple_junction_GaAs,0.22,46.0,0.03,9.0222,0.1961347826086956,NiCd,3,0.018,0.065,54000,30.0,2.6795586220263417,0.0893186207342113,Metallic_bareAl,0.03,2700,0.1,0.001,1.7009999999999999e-10,0.081,0.5769792822491571,4.705107629023269,4.273854869188339,3.9852396592187582,0.8196452442848234,0.5023576926535593,0.3506895681854332,0.4254117825042068,0.37538461538461537,0.8186421317673663,0.4359734333943001,0.322490425815685,0.3497902266743014,0.3541769041769042,0.8184422044120214,0.40331926752263464,0.2872832518029227,0.3233200607917448,0.3278628968567367,324
UHF1,0.5,60.0,0.08,10.0,0.51,0.7,0.15234375,25876.622507867574,90,0.4,1.1,7000.0,1.5,300000.0,0.042,Triple_junction_GaAs,0.22,46.0,0.03,9.0222,0.1961347826086956,LiIon_18650,3,0.018,0.065,184500,155.1,9.155158625256668,0.059027457287277,Metallic_anodizedAl,0.03,2750,0.88,0.002,1.49688e-09,0.165,0.6145059898959727,4.69724420236737,4.256472928103846,4.0065914516699905,0.8940350969914916,0.44840725737322706,0.2816433175298395,0.5395262420279037,0.37538461538461537,0.8923180004090902,0.40899522033619007,0.27286876239114843,0.39612972500673405,0.3541769041769042,0.8925866142924509,0.3896085884883982,0.26176309151106025,0.3459359733591366,0.3278628968567367,325
X_band1,8.0,10.0,0.05,12.0,0.7,0.2625,0.27,0.0009850618687046,160,0.4,1.2,12000.0,2.5,400000.0,0.05,CFRP_substrate2,0.185,84.0,0.03,7.586849999999999,0.0903196428571428,LiSO2,3,0.021,0.07,144000,90.0,10.473944243362228,0.1163771582595803,Aluminizedkapton_2mil,0.03,1420,0.75,0.002,1.2757499999999999e-09,0.0852,0.6118968011167232,4.976276113985396,4.414989205813972,4.057193630054984,0.9004552822401245,0.4282756075514538,0.378647523631088,0.5567051869345697,0.37538461538461537,0.8988968290531026,0.38396079273663897,0.34258307663100884,0.40055795362560803,0.3541769041769042,0.8993394675636758,0.3621625030564952,0.29761679656634227,0.3459010092870477,0.3278628968567367,326
L_band1,1.35,60.0,0.09,9.0,0.62,0.2592592592592592,0.0828934936523437,50122.333674452246,60,0.25,0.7,6000.0,1.2,300000.0,0.038,Carbon_fiber,0.21,84.5,0.03,8.6121,0.1019183431952662,LiSOCl2,3,0.021,0.07,176000,110.0,12.801487408553836,0.1163771582595803,Astroquartz,0.03,2000,0.8,0.0015,1.3607999999999999e-09,0.09,0.4291889951071903,4.4473857848785325,4.123700653306759,3.9481480983203947,0.9076273644926561,0.438258219858104,0.2494166396592437,0.4671802481853979,0.37538461538461537,0.9058520546147503,0.40385312726551137,0.24970832658163405,0.3685544608377582,0.3541769041769042,0.906092638125709,0.386929392439144,0.24985180131967416,0.3340320165063847,0.3278628968567367,327
VHF,0.3,60.0,0.1,8.0,0.59,1.1666666666666667,0.0329062499999999,74132.66352746598,1000,1.5,2.5,25000.0,4.0,600000.0,0.12,Carbon_fiber,0.21,84.5,0.03,8.6121,0.1019183431952662,LiCF,3,0.018,0.065,215600,98.0,10.698385905719988,0.1091672031195917,Metallic_bareAl,0.03,2700,0.1,0.001,1.7009999999999999e-10,0.081,0.4449917963148579,4.221929293328941,4.00082547938598,3.8714338631304073,0.8631456447415183,0.4002862324425386,0.2494166396592437,0.4146657335822836,0.37538461538461537,0.8654693156548003,0.38484410281290893,0.24970832658163405,0.34798318924725524,0.3541769041769042,0.8668673123679638,0.37724817769505276,0.24985180131967416,0.3246419872493838,0.3278628968567367,328
L_band2,1.7,45.0,0.075,13.0,0.55,0.2745098039215686,0.16552587890625,14142.198843223963,1000,1.5,2.5,25000.0,4.0,600000.0,0.12,Carbon_fiber,0.21,84.5,0.03,8.6121,0.1019183431952662,NiH2_individual,3,0.021,0.07,64500,43.0,4.691454192339331,0.1091035858683565,Maxorb,0.03,2100,0.1,0.0015,1.7009999999999999e-10,0.0945,0.5910478079698729,4.457592544162576,4.110284511300065,3.8642505158863036,0.7318564157999735,0.4294052618641969,0.35068937770287856,0.4254117825042068,0.37538461538461537,0.7350603812518369,0.3994770211234563,0.322490329447346,0.3497902266743014,0.3541769041769042,0.7353709167847386,0.38475543277856594,0.2872832025512043,0.3233200607917448,0.3278628968567367,329
S_band2,2.0,30.0,0.1,15.0,0.68,0.35,0.1465063861758076,12726.763832425344,1000,1.5,2.5,25000.0,4.0,600000.0,0.12,Polyimide2,0.148,75.0,0.03,6.06948,0.0809264,Li-polymer,3,0.018,0.065,169500,119.0,8.410836785804907,0.0706793007210496,Metallic_VDA,0.03,2700,0.04,0.002,6.803999999999999e-11,0.162,0.5801120868968573,4.527635485910915,4.057407117945015,3.650561890450072,0.7690010875436889,0.43841115548142817,0.3534875840624352,0.42530265246487425,0.37538461538461537,0.6772417058045656,0.40400837770365045,0.32450132536998366,0.3496810966349688,0.3541769041769042,0.5482039038897794,0.3870857815259291,0.2883174471761305,0.32321093075241225,0.3278628968567367,330
X_band2,8.0,15.0,0.1,14.0,0.82,0.175,0.27,93.74590453415132,1000,1.5,2.5,25000.0,4.0,600000.0,0.12,CFRP_substrate2,0.185,84.0,0.03,7.586849999999999,0.0903196428571428,LiCF,3,0.018,0.065,215600,98.0,10.698385905719988,0.1091672031195917,Aluminizedkapton_1mil,0.03,1420,0.67,0.001,1.1396699999999996e-09,0.0426,0.6320868459767346,8.135976499247672,7.853359376303662,7.471954682178231,0.861905994692981,0.8349164033058754,0.8463948406756414,0.9000348828510771,0.6502991452991453,0.8646591347791781,0.6971617736762458,0.8464724584278722,0.9000890492347169,0.6504299754299754,0.8662709643569885,0.5425221204971558,0.8462869298931466,0.9001950852273355,0.6504975517295846,331
S_band1,2.4,30.0,0.1,11.0,0.71,0.2916666666666667,0.2531630353117955,33378.25204760728,1000,1.5,2.5,25000.0,4.0,600000.0,0.12,Triple_junction_GaAs,0.22,46.0,0.03,9.0222,0.1961347826086956,LiSO2,3,0.021,0.07,144000,90.0,10.473944243362228,0.1163771582595803,Whitepaints_ZOT,0.03,1300,0.91,0.002,1.5479099999999999e-09,0.078,0.7636749761800715,5.518574615685415,5.260782065279623,5.068781430679159,0.8594066238589814,0.515605683077311,0.32317809544687753,0.7463482597847579,0.47888888888888886,0.8559958065758045,0.412656609003237,0.3608017558827271,0.5996701885636415,0.5272420147420147,0.8495203872313284,0.3620163491184315,0.3173084966689097,0.6402776099508481,0.5355078186700364,332
